query,date,rank
tested,2019-09-18,11510
tested,2019-09-19,10417
tested,2019-09-20,10024.5
tested,2019-09-21,9545
tested,2019-09-22,7203.5
tested,2019-09-23,5979
tested,2019-09-24,8971.5
tested,2019-09-25,8474
tested,2019-09-26,6197
tested,2019-09-27,6180.5
tested,2019-09-28,10460.5
tested,2019-09-29,13677
tested,2019-09-30,12783
tested,2019-10-01,11053.5
tested,2019-10-02,10397.5
tested,2019-10-03,10205
tested,2019-10-04,7318
tested,2019-10-05,4895
tested,2019-10-06,11319.5
tested,2019-10-07,11542.5
tested,2019-10-08,10919.5
tested,2019-10-09,9454
tested,2019-10-10,7420.5
tested,2019-10-11,9981.5
tested,2019-10-12,12628.5
tested,2019-10-13,14021
tested,2019-10-14,12628
tested,2019-10-15,12063.5
tested,2019-10-16,12174
tested,2019-10-17,9996
tested,2019-10-18,8967.5
tested,2019-10-19,12360
tested,2019-10-20,13432.5
tested,2019-10-21,11000.5
tested,2019-10-22,7143
tested,2019-10-23,3989
tested,2019-10-24,5497
tested,2019-10-25,7608
tested,2019-10-26,4698
tested,2019-10-27,3355.5
tested,2019-10-28,8376.5
tested,2019-10-29,9837.5
tested,2019-10-30,11176.5
tested,2019-10-31,6146.5
tested,2019-11-01,7004.5
tested,2019-11-02,9287
tested,2019-11-03,7922.5
tested,2019-11-04,9644
tested,2019-11-05,6609.5
tested,2019-11-06,9851.5
tested,2019-11-07,7038
tested,2019-11-08,9744
tested,2019-11-09,14488
tested,2019-11-10,13743
tested,2019-11-11,9859.5
tested,2019-11-12,11179
tested,2019-11-13,10363.5
tested,2019-11-14,10315
tested,2019-11-15,10108
tested,2019-11-16,12219
tested,2019-11-17,11575.5
tested,2019-11-18,6657
tested,2019-11-19,5142
tested,2019-11-20,8431
tested,2019-11-21,10422
tested,2019-11-22,10295
tested,2019-11-23,10982
tested,2019-11-24,3786
tested,2019-11-25,1940
tested,2019-11-26,5780.5
tested,2019-11-27,10568
tested,2019-11-28,11190
tested,2019-11-29,10746
tested,2019-11-30,10831
tested,2019-12-01,9186
tested,2019-12-02,10820
tested,2019-12-03,9175.5
tested,2019-12-04,11859
tested,2019-12-05,9910.5
tested,2019-12-06,6525
tested,2019-12-07,9572.5
tested,2019-12-08,8433
tested,2019-12-09,10995.5
tested,2019-12-10,9395.5
tested,2019-12-11,9708
tested,2019-12-12,4802.5
tested,2019-12-13,5552
tested,2019-12-14,3463
tested,2019-12-15,4752.5
tested,2019-12-16,7366.5
tested,2019-12-17,6003
tested,2019-12-18,7350.5
tested,2019-12-19,9750
tested,2019-12-20,9587.5
tested,2019-12-21,14260.5
tested,2019-12-22,15405
tested,2019-12-23,10905
tested,2019-12-24,14186
tested,2019-12-25,18316
tested,2019-12-26,8675.5
tested,2019-12-27,8024.5
tested,2019-12-28,3352.5
tested,2019-12-29,3979
tested,2019-12-30,7378.5
tested,2019-12-31,5719.5
tested,2020-01-01,6288.5
tested,2020-01-02,9327.5
tested,2020-01-03,11226
tested,2020-01-04,12609
tested,2020-01-05,13594
tested,2020-01-06,9236.5
tested,2020-01-07,1111
tested,2020-01-08,1699
tested,2020-01-09,6273
tested,2020-01-10,8270.5
tested,2020-01-11,8736
tested,2020-01-12,2599
tested,2020-01-13,3913
tested,2020-01-14,7869
tested,2020-01-15,10122
tested,2020-01-16,11257
tested,2020-01-17,10069.5
tested,2020-01-18,10237
tested,2020-01-19,9155.5
tested,2020-01-20,5286
tested,2020-01-21,6481.5
tested,2020-01-22,7809
tested,2020-01-23,6487.5
tested,2020-01-24,5542.5
tested,2020-01-25,6783
tested,2020-01-26,7660
tested,2020-01-27,5672.5
tested,2020-01-28,6490
tested,2020-01-29,7303.5
tested,2020-01-30,3477
tested,2020-01-31,5055.5
tested,2020-02-01,7468.5
tested,2020-02-02,7098.5
tested,2020-02-03,6642.5
tested,2020-02-04,4304
tested,2020-02-05,3419.5
tested,2020-02-06,5094
tested,2020-02-07,6335.5
tested,2020-02-08,8830
tested,2020-02-09,8445
tested,2020-02-10,4846
tested,2020-02-11,5267.5
tested,2020-02-12,6175.5
tested,2020-02-13,6212.5
tested,2020-02-14,4440
tested,2020-02-15,6898
tested,2020-02-16,5560
tested,2020-02-17,5496.5
tested,2020-02-18,6719.5
tested,2020-02-19,8071
tested,2020-02-20,6473
tested,2020-02-21,5623
