query,date,rank
home gym,2018-10-10,1000000
home gym,2018-10-11,1000000
home gym,2018-10-12,1000000
home gym,2018-10-13,1000000
home gym,2018-10-14,1000000
home gym,2018-10-15,1000000
home gym,2018-10-16,1000000
home gym,2018-10-17,1000000
home gym,2018-10-18,1000000
home gym,2018-10-19,1000000
home gym,2018-10-20,1000000
home gym,2018-10-21,1000000
home gym,2018-10-22,1000000
home gym,2018-10-23,638104.5
home gym,2018-10-24,1000000
home gym,2018-10-25,972557.5
home gym,2018-10-26,1000000
home gym,2018-10-27,1000000
home gym,2018-10-28,1000000
home gym,2018-10-29,1000000
home gym,2018-10-30,1000000
home gym,2018-10-31,1000000
home gym,2018-11-01,1000000
home gym,2018-11-02,1000000
home gym,2018-11-03,1000000
home gym,2018-11-04,1000000
home gym,2018-11-05,1000000
home gym,2018-11-06,1000000
home gym,2018-11-07,653366
home gym,2018-11-08,730443
home gym,2018-11-09,1000000
home gym,2018-11-10,638695.5
home gym,2018-11-11,1000000
home gym,2018-11-12,1000000
home gym,2018-11-13,1000000
home gym,2018-11-14,1000000
home gym,2018-11-15,1000000
home gym,2018-11-16,1000000
home gym,2018-11-17,1000000
home gym,2018-11-18,1000000
home gym,2018-11-19,1000000
home gym,2018-11-20,1000000
home gym,2018-11-21,1000000
home gym,2018-11-22,1000000
home gym,2018-11-23,1000000
home gym,2018-11-24,1000000
home gym,2018-11-25,1000000
home gym,2018-11-26,1000000
home gym,2018-11-27,1000000
home gym,2018-11-28,1000000
home gym,2018-11-29,1000000
home gym,2018-11-30,1000000
home gym,2018-12-01,1000000
home gym,2018-12-02,1000000
home gym,2018-12-03,1000000
home gym,2018-12-04,1000000
home gym,2018-12-05,1000000
home gym,2018-12-06,1000000
home gym,2018-12-07,1000000
home gym,2018-12-08,1000000
home gym,2018-12-09,1000000
home gym,2018-12-10,1000000
home gym,2018-12-11,1000000
home gym,2018-12-12,1000000
home gym,2018-12-13,1000000
home gym,2018-12-14,1000000
home gym,2018-12-15,1000000
home gym,2018-12-16,1000000
home gym,2018-12-17,1000000
home gym,2018-12-18,1000000
home gym,2018-12-19,1000000
home gym,2018-12-20,1000000
home gym,2018-12-21,1000000
home gym,2018-12-22,1000000
home gym,2018-12-23,374191.5
home gym,2018-12-24,1000000
home gym,2018-12-25,1000000
home gym,2018-12-26,451835.5
home gym,2018-12-27,354669
home gym,2018-12-28,785658.5
home gym,2018-12-29,795413.5
home gym,2018-12-30,1000000
home gym,2018-12-31,924795.5
home gym,2019-01-01,942705
home gym,2019-01-02,652633.5
home gym,2019-01-03,864427
home gym,2019-01-04,812775
home gym,2019-01-05,974199
home gym,2019-01-06,1000000
home gym,2019-01-07,1000000
home gym,2019-01-08,1000000
home gym,2019-01-09,1000000
home gym,2019-01-10,890836
home gym,2019-01-11,1000000
home gym,2019-01-12,1000000
home gym,2019-01-13,531119
home gym,2019-01-14,866724.5
home gym,2019-01-15,1000000
home gym,2019-01-16,761382
home gym,2019-01-17,759571
home gym,2019-01-18,1000000
home gym,2019-01-19,710500.5
home gym,2019-01-20,1000000
home gym,2019-01-21,1000000
home gym,2019-01-22,1000000
home gym,2019-01-23,993318
home gym,2019-01-24,1000000
home gym,2019-01-25,786687
home gym,2019-01-26,661075.5
home gym,2019-01-27,1000000
home gym,2019-01-28,348045
home gym,2019-01-29,424384.5
home gym,2019-01-30,1000000
home gym,2019-01-31,1000000
home gym,2019-02-01,1000000
home gym,2019-02-02,1000000
home gym,2019-02-03,1000000
home gym,2019-02-04,1000000
home gym,2019-02-05,1000000
home gym,2019-02-06,82800.5
home gym,2019-02-07,141837.5
home gym,2019-02-08,379537.5
home gym,2019-02-09,957480
home gym,2019-02-10,1000000
home gym,2019-02-11,1000000
home gym,2019-02-12,1000000
home gym,2019-02-13,1000000
home gym,2019-02-14,1000000
home gym,2019-02-15,972928.5
home gym,2019-02-16,1000000
home gym,2019-02-17,1000000
home gym,2019-02-18,1000000
home gym,2019-02-19,488447.5
home gym,2019-02-20,1000000
home gym,2019-02-21,1000000
home gym,2019-02-22,952847
home gym,2019-02-23,957277
home gym,2019-02-24,1000000
home gym,2019-02-25,1000000
home gym,2019-02-26,1000000
home gym,2019-02-27,1000000
home gym,2019-02-28,1000000
home gym,2019-03-01,1000000
home gym,2019-03-02,1000000
home gym,2019-03-03,1000000
home gym,2019-03-04,1000000
home gym,2019-03-05,907758.5
home gym,2019-03-06,1000000
home gym,2019-03-07,1000000
home gym,2019-03-08,1000000
home gym,2019-03-09,1000000
home gym,2019-03-10,1000000
home gym,2019-03-11,732153
home gym,2019-03-12,1000000
home gym,2019-03-13,1000000
home gym,2019-03-14,1000000
home gym,2019-03-15,1000000
home gym,2019-03-16,1000000
home gym,2019-03-17,1000000
home gym,2019-03-18,571328.5
home gym,2019-03-19,731313
home gym,2019-03-20,1000000
home gym,2019-03-21,1000000
home gym,2019-03-22,1000000
home gym,2019-03-23,1000000
home gym,2019-03-24,1000000
home gym,2019-03-25,1000000
home gym,2019-03-26,1000000
home gym,2019-03-27,1000000
home gym,2019-03-28,1000000
