ngram,gterm,group,description,date,hits,keyword,geo,time,gprop,category
gym,gym,R,Incumbent resources,2019-03-10T00:00:00Z,73,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-03-17T00:00:00Z,72,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-03-24T00:00:00Z,70,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-03-31T00:00:00Z,69,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-04-07T00:00:00Z,66,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-04-14T00:00:00Z,65,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-04-21T00:00:00Z,65,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-04-28T00:00:00Z,64,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-05-05T00:00:00Z,63,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-05-12T00:00:00Z,66,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-05-19T00:00:00Z,66,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-05-26T00:00:00Z,74,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-06-02T00:00:00Z,75,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-06-09T00:00:00Z,72,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-06-16T00:00:00Z,75,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-06-23T00:00:00Z,75,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-06-30T00:00:00Z,70,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-07-07T00:00:00Z,71,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-07-14T00:00:00Z,71,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-07-21T00:00:00Z,69,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-07-28T00:00:00Z,71,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-08-04T00:00:00Z,73,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-08-11T00:00:00Z,69,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-08-18T00:00:00Z,73,gym,US,2018-01-01 2021-10-29,web,0
gym,gym,R,Incumbent resources,2019-08-25T00:00:00Z,72,gym,US,2018-01-01 2021-10-29,web,0
